"Cobertura";"Codigo de Region";"ID de Plan";"Precio de Plan";"Nombre Cliente";"RUT";"Telefono"
"Valparaiso";"5";"A";"500,00";"Juan";"12345678-9";"912345678"
"Valparaiso";"5";"A";"500,00";"Carlos";"23456789-0";"922345678"
"Valparaiso";"5";"A";"500,00";"Ana";"34567890-1";"932345678"
"Valparaiso";"5";"A";"500,00";"Luis";"45678901-2";"942345678"
"Valparaiso";"5";"A";"500,00";"María";"56789012-3";"952345678"
"Valparaiso";"5";"B";"500,00";"Juan";"12345678-9";"912345678"
"Valparaiso";"5";"B";"500,00";"Carlos";"23456789-0";"922345678"
"Valparaiso";"5";"B";"500,00";"Ana";"34567890-1";"932345678"
"Valparaiso";"5";"B";"500,00";"Luis";"45678901-2";"942345678"
"Valparaiso";"5";"B";"500,00";"María";"56789012-3";"952345678"
"Valparaiso";"5";"C";"500,00";"Juan";"12345678-9";"912345678"
"Valparaiso";"5";"C";"500,00";"Carlos";"23456789-0";"922345678"
"Valparaiso";"5";"C";"500,00";"Ana";"34567890-1";"932345678"
"Valparaiso";"5";"C";"500,00";"Luis";"45678901-2";"942345678"
"Valparaiso";"5";"C";"500,00";"María";"56789012-3";"952345678"
"Valparaiso";"5";"D";"500,00";"Juan";"12345678-9";"912345678"
"Valparaiso";"5";"D";"500,00";"Carlos";"23456789-0";"922345678"
"Valparaiso";"5";"D";"500,00";"Ana";"34567890-1";"932345678"
"Valparaiso";"5";"D";"500,00";"Luis";"45678901-2";"942345678"
"Valparaiso";"5";"D";"500,00";"María";"56789012-3";"952345678"
"Valparaiso";"5";"E";"500,00";"Juan";"12345678-9";"912345678"
"Valparaiso";"5";"E";"500,00";"Carlos";"23456789-0";"922345678"
"Valparaiso";"5";"E";"500,00";"Ana";"34567890-1";"932345678"
"Valparaiso";"5";"E";"500,00";"Luis";"45678901-2";"942345678"
"Valparaiso";"5";"E";"500,00";"María";"56789012-3";"952345678"
"Viña del Mar";"6";"A";"500,00";"Juan";"12345678-9";"912345678"
"Viña del Mar";"6";"A";"500,00";"Carlos";"23456789-0";"922345678"
"Viña del Mar";"6";"A";"500,00";"Ana";"34567890-1";"932345678"
"Viña del Mar";"6";"A";"500,00";"Luis";"45678901-2";"942345678"
"Viña del Mar";"6";"A";"500,00";"María";"56789012-3";"952345678"
